shop_name,stylebox_shop_id,shop_url,product_url,product_name,original_price,imgs,scrape_date,discounted_price,review,size,color,description_1,description_2,rating
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/av00000/,Basas Simple Life NE -  Low Top - Black,490.000 VND,"['https://ananas.vn/wp-content/uploads/Pro_AV00000_5-2.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00000_7.jpg', 'https://ananas.vn/wp-content/uploads/Pro_AV00000_2.jpg', 'https://ananas.vn/wp-content/uploads/Pro_AV00000_3.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00000_5.jpg', 'https://ananas.vn/wp-content/uploads/Pro_AV00000_1.jpg', 'https://ananas.vn/wp-content/uploads/Pro_AV00000_4.jpg']",2022-08-02 15:40:50.208591,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/abh001/,Bucket Hat - Ananas Typo Box - Black,285.000 VND,"['https://ananas.vn/wp-content/uploads/pro_ABH001_2.jpg', 'https://ananas.vn/wp-content/uploads/pro_ABH001_3.jpg', 'https://ananas.vn/wp-content/uploads/pro_ABH001_1-2.jpg', 'https://ananas.vn/wp-content/uploads/pro_ABH001_4.jpg']",2022-08-02 15:40:51.007924,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/agt0010/,Hiphop Graphic Tee - Ananas Symbol - Black,365.000 VND,"['https://ananas.vn/wp-content/uploads/AGT0010_4.jpg', 'https://ananas.vn/wp-content/uploads/AGT0010_1.jpg', 'https://ananas.vn/wp-content/uploads/AGT0010_3.jpg', 'https://ananas.vn/wp-content/uploads/AGT0010_5.jpg', 'https://ananas.vn/wp-content/uploads/AGT0010_2.jpg']",2022-08-02 15:40:51.776888,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/av00004/,Basas Bumper Gum NE - Mule - Black/Gum,520.000 VND,"['https://ananas.vn/wp-content/uploads/pro_AV00004_3.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00004_4.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00004_5.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00004_1.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00004_6.jpg', 'https://ananas.vn/wp-content/uploads/pro_AV00004_2.jpg']",2022-08-02 15:40:52.812247,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/abn002/,Beanie Hat - Go Skate - Olive,195.000 VND,"['https://ananas.vn/wp-content/uploads/pro_ABN002_1-1-1.jpg', 'https://ananas.vn/wp-content/uploads/pro_ABN002_2.jpg']",2022-08-02 15:40:55.338307,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/agt0011/,Hiphop Graphic Tee - Est. '17 Ananas - Black,350.000 VND,"['https://ananas.vn/wp-content/uploads/AGT0011_5.jpg', 'https://ananas.vn/wp-content/uploads/AGT0011_3.jpg', 'https://ananas.vn/wp-content/uploads/AGT0011_1-1.jpg', 'https://ananas.vn/wp-content/uploads/AGT0011_4.jpg', 'https://ananas.vn/wp-content/uploads/AGT0011_2-1.jpg']",2022-08-02 15:40:56.500621,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/a6t003/,Track 6 Triple Black - Low Top - Black,990.000 VND,"['https://ananas.vn/wp-content/uploads/pro_track6_A6T003_11.jpg', 'https://ananas.vn/wp-content/uploads/pro_track6_A6T003_12.jpg', 'https://ananas.vn/wp-content/uploads/pro_track6_A6T003_6.jpg', 'https://ananas.vn/wp-content/uploads/pro_track6_A6T003_4.jpg', 'https://ananas.vn/wp-content/uploads/pro_track6_A6T003_3.jpg', 'https://ananas.vn/wp-content/uploads/pro_track6_A6T003_9.jpg', 'https://ananas.vn/wp-content/uploads/pro_track6_A6T003_5.jpg', 'https://ananas.vn/wp-content/uploads/pro_track6_A6T003_2.jpg', 'https://ananas.vn/wp-content/uploads/pro_track6_A6T003_1.jpg']",2022-08-02 15:40:57.627703,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/abc008/,Baseball Cap - Be Positive - Oc.Khaki,285.000 VND,"['https://ananas.vn/wp-content/uploads/pro_ABC008_1.jpg', 'https://ananas.vn/wp-content/uploads/pro_cap_ABC008_2.jpg', 'https://ananas.vn/wp-content/uploads/pro_ABC008_2.jpg']",2022-08-02 15:40:58.554154,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/av00126/,Urbas Ruler - Low Top - Silver Pink,590.000 VND,"['https://ananas.vn/wp-content/uploads/Pro_AV00126_8.jpeg', 'https://ananas.vn/wp-content/uploads/Pro_AV00126_5.jpeg', 'https://ananas.vn/wp-content/uploads/Pro_AV00126_6.jpeg', 'https://ananas.vn/wp-content/uploads/Pro_AV00126_3.jpeg', 'https://ananas.vn/wp-content/uploads/Pro_AV00126_2.jpeg', 'https://ananas.vn/wp-content/uploads/Pro_AV00126_1.jpeg', 'https://ananas.vn/wp-content/uploads/Pro_AV00126_7.jpeg', 'https://ananas.vn/wp-content/uploads/Pro_AV00126_4.jpeg']",2022-08-02 15:40:59.761601,,,,,,,
Ananas,12,https://ananas.vn/,https://ananas.vn/product-detail/a6t007/,Track 6 Suede Moonphase - Low Top - Winterize,990.000 VND,"['https://ananas.vn/wp-content/uploads/pro_A6T007_1.jpg', 'https://ananas.vn/wp-content/uploads/pro_A6T007_2.jpg', 'https://ananas.vn/wp-content/uploads/pro_A6T007_4.jpg', 'https://ananas.vn/wp-content/uploads/pro_A6T007_3.jpg', 'https://ananas.vn/wp-content/uploads/pro_A6T007_5.jpg']",2022-08-02 15:41:01.299563,,,,,,,
